user_name,user_id,error_correct_pair,date,time
NamNT,namnt,công việc của mình tính -> thủ tục hành chính,29/09/25,09:47:59
nampv1,nampv1,và dịa vũng tàu -> bà rịa vũng tàu,29/09/25,23:57:08
nampv1,nampv1,bắc cạn -> bắc kạn,29/09/25,23:57:08
nampv1,nampv1,đắk lắc -> đắk lắk,30/09/25,00:00:11
nampv1,nampv1,biêu chính -> bưu chính,30/09/25,00:09:45
nampv1,nampv1,Nguyễn Hiễu Cảnh -> Nguyễn Hữu Cảnh,30/09/25,00:13:25
nampv1,nampv1,biêu điện -> bưu điện,30/09/25,00:20:18
nampv1,nampv1,ngạch ngang -> gạch ngang,30/09/25,00:29:37
nampv1,nampv1,Nam Tử Liêm -> Nam Từ Liêm,30/09/25,00:32:00
nampv1,nampv1,Bắc Tử Liêm -> Bắc Từ Liêm,30/09/25,00:32:00
nampv1,nampv1,gần ngúi -> gần gũi,30/09/25,11:34:42
nampv1,nampv1,trách nhiệm hữu hạn -> TNHH,30/09/25,13:48:09
Nam,nam,biểu tả -> bưu tá,30/09/25,16:26:27
